"Site","Tag","Species","Family","WSG","HOM","DBH","Ht","Notes","ID","AIC1","AIC2","AIC3","AIC4","AIC5","range.iso","b1.hom","b1.iso","range.hom","iso"
"AMA","0Q0007","Unidentified sp.5","Unknown",0.609402410462777,4.14,53.5,31.8,"","AMA-0Q0007",TRUE,FALSE,TRUE,FALSE,FALSE,2.90659450165151,-0.0584152400636225,-0.0266891593216515,1.504966489,0.961138441395356
"AMA","0M0515","Pourouma minor","Urticaceae",0.436,3.48,85.5,28.03,"","AMA-0M0515",TRUE,FALSE,TRUE,FALSE,FALSE,3.33451109381313,0.0242362546299402,0.0242362546299402,3.33451109381313,0.954529593474619
"AMA","0H0401","Cecropia sciadophylla","Urticaceae",0.386857,1.65,18.939,26.43,"with 0H0400","AMA-0H0401",TRUE,FALSE,TRUE,FALSE,FALSE,3.32936716973422,0.108889254640875,0.108889254640875,3.32936716973422,0.970162085716084
"AMA","0E0431","Pourouma minor","Urticaceae",0.436,3.9,38.2,24,"","AMA-0E0431",TRUE,FALSE,TRUE,FALSE,FALSE,3.55023459582459,-0.00403946022500589,0.00643420450608482,2.36501744593074,0.98006801074339
"BCI","4934","alchco","Euphorbiaceae",0.301,3.200000048,80.9,32.3,"","BCI-4934",TRUE,FALSE,TRUE,FALSE,FALSE,2.47857920719661,0.0176132124629235,0.0584018887704422,0.860021900308885,0.738164075835436
"BCI","6554","alsebl","Rubiaceae",0.536,3,30.2,17.1,"stem forks at top","BCI-6554",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCI","5227","alsebl","Rubiaceae",0.536,3.6,33.8,24,"","BCI-5227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCI","359","alsebl","Rubiaceae",0.536,3.400000095,48.1,24.7,"","BCI-359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCI","7577","alsebl","Rubiaceae",0.536,3.5,31.1,25.5,"","BCI-7577",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCI","217098","alsebl","Rubiaceae",0.536,4,22.5,17.9,"stem forks at top","BCI-217098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCI","389","alsebl","Rubiaceae",0.536,4,53.6,22.1,"","BCI-389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCI","328","alsebl","Rubiaceae",0.536,3.5,53.6,27.9,"","BCI-328",TRUE,FALSE,TRUE,FALSE,FALSE,1.2899529038747,0.191564476036076,0.191564476036076,1.2899529038747,0.586126718572845
"BCI","6466","alsebl","Rubiaceae",0.536,5.199999809,71.2,20.9,"","BCI-6466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCI","7680","apeime","Malvaceae",0.278333,3.799999952,73,30.1,"","BCI-7680",TRUE,FALSE,TRUE,FALSE,FALSE,2.90246561058905,-0.00447678562308706,0.0103579602264856,1.0750232638318,0.864946214320329
"BCI","2121","aspicr","Apocynaceae",0.753333,6,77,36.1,"","BCI-2121",TRUE,TRUE,TRUE,FALSE,FALSE,1.72001133889977,0.0253822462577985,0.0357287280843135,1.29001094028938,0.943860125083807
"BCI","5221","ast2gr","Anacardiaceae",0.868143,4.449999809,84.2,39.1,"","BCI-5221",TRUE,FALSE,FALSE,FALSE,FALSE,0,0.214766117350781,0.214766117350781,0,0.953800450749153
"BCI","333","beilpe","Lauraceae",0.507,5.300000191,66.5,32.5,"","BCI-333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCI","6876","beilpe","Lauraceae",0.507,3,71,28.1,"","BCI-6876",TRUE,FALSE,TRUE,FALSE,FALSE,3.1175987157379,0.0341853362285651,0.0323348499392111,2.6908934322043,0.967090733476465
"BCI","1311","beilpe","Lauraceae",0.507,4,62.2,27.1,"","BCI-1311",TRUE,FALSE,TRUE,FALSE,FALSE,1.29000444641621,0.0253465912652147,0.0253465912652147,1.29000444641621,0.88982330998619
"BCI","4413","beilpe","Lauraceae",0.507,3.200000048,59.6,25.9,"","BCI-4413",TRUE,TRUE,TRUE,FALSE,FALSE,2.26057839523732,0.0389135361828286,0.0389135361828286,2.26057839523732,0.97870308535458
"BCI","4072","beilpe","Lauraceae",0.507,3.5,66.8,32.1,"","BCI-4072",FALSE,FALSE,FALSE,TRUE,FALSE,0.860041746852398,0.000954018693169738,0.000954018693169738,0.860041746852398,0.944259847595849
"BCI","4524","brosal","Moraceae",0.60775,8,95.6,36.1,"","BCI-4524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCI","1497","brosal","Moraceae",0.60775,3.900000095,72,33.9,"","BCI-1497",TRUE,FALSE,TRUE,FALSE,FALSE,1.50495012465185,0.0175439409653471,0.0175439409653471,1.50495012465185,0.91637629722107
"BCI","1730","brosal","Moraceae",0.60775,6.5,109,43.3,"","BCI-1730",TRUE,FALSE,TRUE,FALSE,FALSE,1.71989045072366,0.00443399651471851,0.00644233383053879,1.50492732363465,0.975351608828286
"BCI","1274","brosal","Moraceae",0.60775,5.400000095,72.5,36.1,"","BCI-1274",TRUE,FALSE,TRUE,FALSE,FALSE,1.93493107881828,0.0271101106630743,0.0383226912616145,1.07501814493206,0.968530427954316
"BCI","3628","cavapl","Malvaceae",0.36,3.299999952,217.2,42.9,"","BCI-3628",TRUE,TRUE,TRUE,FALSE,FALSE,2.2610608072931,0.0258644131176039,0.0258644131176039,2.2610608072931,0.965996402609321
