"Tag","Site","ht","perim","area","d","iso.quo","ID"
"7163","BCI",6.03701847961832,6.66500700019738,2.37210461377807,1.8866416975186,0.67103084316646,"BCI-7163"
"7163","BCI",6.25204658971014,6.64054856283755,2.34328296960221,1.84774198368329,0.667769664603234,"BCI-7163"
"7163","BCI",6.46697244331797,5.9698424539096,2.36790304861621,1.81920925783855,0.834926105873398,"BCI-7163"
"7163","BCI",6.68197672434524,5.70347743425914,2.36312748424704,1.79004544563911,0.912888129900417,"BCI-7163"
"7163","BCI",6.89701051531746,5.57961567843376,2.32897363221922,1.76323815095207,0.940082273946818,"BCI-7163"
"7163","BCI",7.11199562713287,5.52712653438103,2.2810162062257,1.73938686628487,0.9382950400709,"BCI-7163"
"7163","BCI",7.32702139240385,5.42077032532317,2.22631925647368,1.71433545113166,0.952084057441584,"BCI-7163"
"7163","BCI",7.5419896356383,5.3553119691641,2.19311155972649,1.69752402671738,0.960950544802704,"BCI-7163"
"7163","BCI",7.7569285352,5.33559395233366,2.17213962982267,1.6910024206716,0.958808907322327,"BCI-7163"
"7221","BCI",1.61869580945592,5.34738211409932,0.717824614587723,1.44695410761784,0.315461070161602,"BCI-7221"
"7221","BCI",1.8366371327907,4.57989003620115,0.681862059127632,1.29053502498065,0.408503976424647,"BCI-7221"
"7221","BCI",2.04980974407133,4.14479843363386,0.650606811799246,1.20430132907595,0.475906503521912,"BCI-7221"
"7221","BCI",2.26507592179191,3.73230648756481,0.612428325834239,1.11404008047123,0.5524723328462,"BCI-7221"
"7221","BCI",2.48026067651549,3.41139475365361,0.584912847081783,1.03454183368122,0.631592653713691,"BCI-7221"
"7221","BCI",2.6957723670697,3.11122332550935,0.546066185200433,0.95390137305079,0.708912730978768,"BCI-7221"
"7221","BCI",2.9105847399687,2.96324854104356,0.526497901397557,0.912228566082854,0.753477607265746,"BCI-7221"
"7221","BCI",3.12638429898936,2.8236219077102,0.510836403549808,0.879686795099869,0.805153373786507,"BCI-7221"
"7221","BCI",3.34318953848718,2.77218782653399,0.499339924107348,0.864803066758171,0.816508764344573,"BCI-7221"
"7221","BCI",3.88145738421875,2.40846655111903,0.449552984377637,0.766635538631031,0.973889112551882,"BCI-7221"
"7221","BCI",4.09646693370968,2.3655450438059,0.434105252884607,0.752976373656487,0.974860470967205,"BCI-7221"
"7221","BCI",4.31141393130435,2.36314184737068,0.429500869926612,0.751985702007767,0.96648324621168,"BCI-7221"
"7221","BCI",4.52647720375,2.33747862249234,0.426381277035062,0.74404255428258,0.980646978616898,"BCI-7221"
"7221","BCI",4.74144613296296,2.35423677940669,0.428193466351902,0.748812605024516,0.970844377472045,"BCI-7221"
"7221","BCI",4.95645060566038,2.30018889858448,0.414952320632113,0.732172866509644,0.985555431203258,"BCI-7221"
"7221","BCI",5.17146314614035,2.31371808878765,0.412405879354462,0.735569370766878,0.96808575168287,"BCI-7221"
"7221","BCI",5.38646001535714,2.33271368802371,0.416717549569395,0.742219904949027,0.962340534910421,"BCI-7221"
"7221","BCI",5.60146537327869,2.35613480614072,0.41500537457731,0.745305626331509,0.939427599559236,"BCI-7221"
"7221","BCI",3.66646898346154,2.47383290161361,0.460727875648382,0.786949272719534,0.946048999706146,"BCI-7221"
"7383","BCI",1.67504562352201,2.38118281399232,0.422214881665209,0.756697584735808,0.935745876238603,"BCI-7383"
"7383","BCI",1.88707681647059,2.34166518827726,0.413662062819734,0.744466941026153,0.947994806304383,"BCI-7383"
"7383","BCI",2.10179464217391,2.32307652701082,0.410850520917595,0.739200347215404,0.956679951326682,"BCI-7383"
"7383","BCI",2.31464171577778,2.30101003147246,0.40507534050714,0.732360484888421,0.961410023553695,"BCI-7383"
"7383","BCI",2.53007939466667,2.29151104242456,0.402177722380534,0.729370871885152,0.962462828552061,"BCI-7383"
"7383","BCI",2.74622235979592,2.30051537408309,0.403782562005062,0.732256746648079,0.958753899682609,"BCI-7383"
"7383","BCI",3.06926039456,2.24191572694644,0.38741371624673,0.713503720045745,0.968604070102377,"BCI-7383"
"7383","BCI",3.28426217042105,2.23652460683283,0.386800126934744,0.711901614127327,0.971737830416592,"BCI-7383"
"7383","BCI",3.49928257641667,2.23422536371155,0.386509910465167,0.711096363887974,0.973008294769661,"BCI-7383"
"7383","BCI",3.71427556981132,2.23378221941138,0.386922673164242,0.710800488389495,0.974433899513886,"BCI-7383"
"7383","BCI",3.92923708319588,2.23270529951578,0.387058358265858,0.71068566264492,0.975716182166494,"BCI-7383"
"7383","BCI",4.14426893407767,2.23155152866012,0.386455457014496,0.710291625181702,0.975203989078549,"BCI-7383"
"7383","BCI",4.35930704828283,2.22107333236805,0.384170732033052,0.706989599631928,0.978607058055048,"BCI-7383"
"7680","BCI",1.9215084275,2.36835887547251,0.362358341068646,0.740462681880483,0.811807583759513,"BCI-7680"
"7680","BCI",2.35316367923077,2.3823405791369,0.384905227249259,0.752996524551064,0.852228348752934,"BCI-7680"
"7680","BCI",2.9963501000641,2.47116505504784,0.432041926161126,0.784920464574427,0.889062412668791,"BCI-7680"
"7680","BCI",3.32060873776471,2.36613590983979,0.396847415935884,0.751541426166013,0.890746341697628,"BCI-7680"
"7680","BCI",3.53561720803371,2.35546286695609,0.391242215512818,0.747683237140628,0.88614144550725,"BCI-7680"
"7680","BCI",3.75059811305785,2.3551885785344,0.386009901007179,0.746932656108753,0.874494203638745,"BCI-7680"
"7680","BCI",4.18060602598802,2.33798775664947,0.376238906322562,0.737257192751942,0.864946214320329,"BCI-7680"
"7680","BCI",4.39562969529412,2.35184908807832,0.377779264582069,0.746807719090358,0.858280171501065,"BCI-7680"
"7680","BCI",4.82557072514851,2.35233397268242,0.364681040682654,0.742921903766519,0.828180666699537,"BCI-7680"
"7680","BCI",5.04063684525,2.34996414348874,0.368714306063451,0.745925103419113,0.839029790444935,"BCI-7680"
"7680","BCI",5.25562928981982,2.34196482776978,0.358927971965355,0.742757579718676,0.8223494990938,"BCI-7680"
"7700","BCI",0.677743805090909,2.46606656755398,0.436241456798147,0.783150406287376,0.901420038099021,"BCI-7700"
"7700","BCI",0.814552236043166,2.54968137228771,0.45342818642246,0.808983892534359,0.876489172575244,"BCI-7700"
"7700","BCI",1.02961408201342,2.55430980645836,0.459482817839937,0.810557234458897,0.884977029665481,"BCI-7700"
"7700","BCI",1.24873391489051,2.52804843014705,0.45275072662879,0.803523080640109,0.890221832316413,"BCI-7700"
"7700","BCI",1.46171716298137,2.56653294631802,0.474564047895333,0.815756654188336,0.905338544142612,"BCI-7700"
