"Site","Tag","Species","Family","WSG","HOM","DBH","Ht","Notes","ID","b1.hom","b1.iso","range.hom","range.iso","iso"
"AMA","0D0083","Eschweilera rufifolia","Lecythidaceae",0.828119,4.36,43.7,29.7,"","AMA-0D0083",0.0173875197893609,0.0234907308627369,3.12212746892279,3.55126898127184,0.965312813547962
"AMA","0Q0301","Pachira insignis","Malvaceae",0.384,2.2,60.9,28.43,"","AMA-0Q0301",0.0702994211746747,0.0702994211746747,2.47518203748989,2.47518203748989,0.98842483833459
"AMA","0S0029","Ceiba pentandra","Malvaceae",0.305149,3.6,77.3,33.63,"","AMA-0S0029",0.0424588761280705,0.0424588761280705,3.12160125541975,3.12160125541975,0.931401549429966
"AMA","0G0566","Guarea trunciflora","Meliaceae",0.560551,5.88,54.3,24.43,"","AMA-0G0566",0.0114410934671839,0.0495202935407647,0.214820492148394,2.26465094688609,0.971797207305027
"AMA","0L0291","Brosimum parinarioides","Moraceae",0.630625,1.52,83.2,37.23,"","AMA-0L0291",0.0145021033480146,0.0145021033480146,3.33533053810227,3.33533053810227,0.983469752775809
"AMA","0W0197","Brosimum lactescens","Moraceae",0.6556,1.75,36.732,18.63,"","AMA-0W0197",0.085975777219992,0.085975777219992,2.9069806878736,2.9069806878736,0.972477917713758
"AMA","0C0486","Pseudolmedia laevis","Moraceae",0.618444,1.72,32.627,24.63,"","AMA-0C0486",0.0918385518029581,0.103243720919031,1.18818378673557,1.60809313465158,0.967778720918616
"AMA","0W0444","Sorocea steinbachii","Moraceae",0.608333,2.9,27.6,19.03,"","AMA-0W0444",0.0941302574444375,0.0941302574444375,1.72000551104167,1.72000551104167,0.903771820391539
"AMA","0D0001","Castilla ulei","Moraceae",0.437,1.73,36.9,23.83,"","AMA-0D0001",0.0350478270007211,0.0338791282120236,3.33725937939796,3.55107737153704,0.986722767006913
"AMA","0K0261","Pseudolmedia laevis","Moraceae",0.618444,2.44,44.9,34.23,"","AMA-0K0261",0.0694745314072996,0.0694745314072996,2.69020349926614,2.69020349926614,0.920946746678839
"AMA","0M0451","Brosimum potabile","Moraceae",0.530615171460801,1.51,59.59,29.6,"","AMA-0M0451",0.037997495290058,0.037997495290058,3.33487442592622,3.33487442592622,0.987785027462126
"AMA","0K0486","Virola pavonis","Myristicaceae",0.586667,3.27,30.3,25.83,"","AMA-0K0486",0.0216554465434993,0.0234158647902528,1.99739444520513,2.20702540110329,0.960259240874028
"AMA","0W0568","Virola pavonis","Myristicaceae",0.586667,1.69,28.266,23.03,"","AMA-0W0568",0.0622907556618247,0.0888104385046638,1.2900034116342,1.61006676838949,0.962015129643169
"AMA","0Y0610","Virola pavonis","Myristicaceae",0.586667,2.17,35.3,24.23,"","AMA-0Y0610",0.0386658449843021,0.0446563135712838,2.68998784386956,3.12011908960256,0.966190990183613
"AMA","0C0543","Osteophloeum platyspermum","Myristicaceae",0.465857,5.42,57.232,34.6,"","AMA-0C0543",0.0141693763157098,0.015628684933543,1.28993672729701,1.93507588915465,0.936861944077274
"AMA","0P0015","Virola pavonis","Myristicaceae",0.586667,2.35,47.2,29.23,"","AMA-0P0015",0.0168749258359864,0.0168749258359864,2.90457266588756,2.90457266588756,0.933432394197455
"AMA","0K0516","Virola duckei","Myristicaceae",0.473016,3.84,60.2,33.43,"","AMA-0K0516",0.0364777120108456,0.0364777120108456,3.33366856456612,3.33366856456612,0.964090556999582
"AMA","0E0400","Iryanthera laevis","Myristicaceae",0.615,6.22,49.465,21.63,"","AMA-0E0400",0.012858640570321,0.0144407545980659,1.93499962497312,3.22500636447312,0.929546324588856
"AMA","0I0429","Minquartia guianensis","Olacaceae",0.786714,2.32,25.3,17.43,"Missing tag","AMA-0I0429",0.00246790922730476,0.0954549141514597,1.29001648194079,2.47199414947115,0.96526123659718
"AMA","0N0571","Richeria sp.","Phyllanthaceae",0.612984479564033,1.6,57.4,32,"","AMA-0N0571",0.0508324369691229,0.0508324369691229,1.61420323744031,1.61420323744031,0.961076291008214
"AMA","0A0236","Chimarrhis glabriflora","Rubiaceae",0.7115,1.85,31,29,"","AMA-0A0236",0.032483321004067,0.032483321004067,2.20971176296537,2.20971176296537,0.951687970669086
